Score	Age	Feedback
1	Children	Praised
4	Children	Praised
3	Children	Praised
3	Children	Praised
5	Children	Praised
3	Children	Praised
8	Children	Praised
1	Children	Praised
6	Children	Praised
6	Children	Praised
2	Children	Praised
2	Children	Praised
4	Children	Praised
2	Children	Praised
7	Children	Praised
6	Children	Praised
4	Children	Praised
3	Children	Praised
7	Children	Praised
3	Children	Praised
3	Children	Praised
4	Children	Praised
2	Children	Praised
2	Children	Praised
9	Children	Praised
3	Children	Praised
4	Children	Praised
6	Children	Praised
4	Children	Praised
2	Children	Praised
5	Children	Praised
4	Children	Praised
6	Children	Praised
6	Children	Praised
3	Children	Praised
6	Children	Praised
7	Children	Praised
5	Children	Praised
3	Children	Praised
7	Children	Praised
2	Children	Praised
4	Children	Praised
5	Children	Praised
4	Children	Praised
3	Children	Praised
5	Children	Praised
4	Children	Praised
2	Children	Praised
6	Children	Praised
3	Children	Praised
6	Children	Praised
2	Children	Criticized
6	Children	Criticized
6	Children	Criticized
6	Children	Criticized
8	Children	Criticized
7	Children	Criticized
6	Children	Criticized
8	Children	Criticized
7	Children	Criticized
5	Children	Criticized
9	Children	Criticized
9	Children	Criticized
7	Children	Criticized
7	Children	Criticized
6	Children	Criticized
7	Children	Criticized
6	Children	Criticized
6	Children	Criticized
7	Children	Criticized
6	Children	Criticized
7	Children	Criticized
4	Children	Criticized
5	Children	Criticized
4	Children	Criticized
4	Children	Criticized
8	Children	Criticized
6	Children	Criticized
6	Children	Criticized
6	Children	Criticized
5	Children	Criticized
5	Children	Criticized
5	Children	Criticized
7	Children	Criticized
9	Children	Criticized
7	Children	Criticized
3	Children	Criticized
8	Children	Criticized
4	Children	Criticized
3	Children	Criticized
6	Children	Criticized
7	Children	Criticized
8	Children	Criticized
6	Children	Criticized
6	Children	Criticized
7	Children	Criticized
6	Children	Criticized
7	Children	Criticized
7	Children	Criticized
8	Children	Criticized
6	Children	Criticized
6	Children	Criticized
3	Children	None
6	Children	None
6	Children	None
4	Children	None
7	Children	None
6	Children	None
4	Children	None
5	Children	None
5	Children	None
6	Children	None
8	Children	None
5	Children	None
6	Children	None
7	Children	None
7	Children	None
7	Children	None
3	Children	None
5	Children	None
5	Children	None
3	Children	None
6	Children	None
4	Children	None
8	Children	None
3	Children	None
7	Children	None
5	Children	None
7	Children	None
5	Children	None
7	Children	None
7	Children	None
6	Children	None
8	Children	None
9	Children	None
6	Children	None
5	Children	None
8	Children	None
6	Children	None
4	Children	None
3	Children	None
7	Children	None
7	Children	None
6	Children	None
5	Children	None
6	Children	None
5	Children	None
6	Children	None
7	Children	None
7	Children	None
7	Children	None
5	Children	None
6	Children	None
4	Adult	Praised
3	Adult	Praised
2	Adult	Praised
2	Adult	Praised
3	Adult	Praised
2	Adult	Praised
4	Adult	Praised
1	Adult	Praised
3	Adult	Praised
3	Adult	Praised
1	Adult	Praised
1	Adult	Praised
2	Adult	Praised
1	Adult	Praised
4	Adult	Praised
3	Adult	Praised
2	Adult	Praised
2	Adult	Praised
4	Adult	Praised
2	Adult	Praised
2	Adult	Praised
2	Adult	Praised
1	Adult	Praised
1	Adult	Praised
5	Adult	Praised
2	Adult	Praised
2	Adult	Praised
3	Adult	Praised
2	Adult	Praised
1	Adult	Praised
3	Adult	Praised
2	Adult	Praised
3	Adult	Praised
3	Adult	Praised
2	Adult	Praised
3	Adult	Praised
4	Adult	Praised
3	Adult	Praised
2	Adult	Praised
4	Adult	Praised
1	Adult	Praised
2	Adult	Praised
3	Adult	Praised
2	Adult	Praised
2	Adult	Praised
3	Adult	Praised
2	Adult	Praised
1	Adult	Praised
3	Adult	Praised
2	Adult	Praised
3	Adult	Praised
5	Adult	Criticized
3	Adult	Criticized
3	Adult	Criticized
3	Adult	Criticized
4	Adult	Criticized
4	Adult	Criticized
3	Adult	Criticized
4	Adult	Criticized
4	Adult	Criticized
3	Adult	Criticized
5	Adult	Criticized
5	Adult	Criticized
4	Adult	Criticized
4	Adult	Criticized
3	Adult	Criticized
4	Adult	Criticized
3	Adult	Criticized
3	Adult	Criticized
4	Adult	Criticized
3	Adult	Criticized
4	Adult	Criticized
2	Adult	Criticized
3	Adult	Criticized
2	Adult	Criticized
2	Adult	Criticized
4	Adult	Criticized
3	Adult	Criticized
3	Adult	Criticized
4	Adult	Criticized
3	Adult	Criticized
3	Adult	Criticized
3	Adult	Criticized
4	Adult	Criticized
5	Adult	Criticized
4	Adult	Criticized
2	Adult	Criticized
4	Adult	Criticized
2	Adult	Criticized
2	Adult	Criticized
3	Adult	Criticized
4	Adult	Criticized
4	Adult	Criticized
3	Adult	Criticized
4	Adult	Criticized
4	Adult	Criticized
4	Adult	Criticized
4	Adult	Criticized
4	Adult	Criticized
4	Adult	Criticized
3	Adult	Criticized
3	Adult	Criticized
6	Adult	None
3	Adult	None
3	Adult	None
2	Adult	None
4	Adult	None
3	Adult	None
2	Adult	None
3	Adult	None
3	Adult	None
3	Adult	None
5	Adult	None
3	Adult	None
3	Adult	None
4	Adult	None
4	Adult	None
4	Adult	None
2	Adult	None
3	Adult	None
3	Adult	None
2	Adult	None
3	Adult	None
2	Adult	None
4	Adult	None
2	Adult	None
4	Adult	None
3	Adult	None
4	Adult	None
3	Adult	None
4	Adult	None
4	Adult	None
3	Adult	None
4	Adult	None
5	Adult	None
3	Adult	None
3	Adult	None
4	Adult	None
3	Adult	None
2	Adult	None
2	Adult	None
4	Adult	None
4	Adult	None
3	Adult	None
3	Adult	None
4	Adult	None
3	Adult	None
3	Adult	None
4	Adult	None
4	Adult	None
4	Adult	None
3	Adult	None
3	Adult	None
