Score	Sport	Feedback	SubjectID
1	No_sport	Praised	1
4	No_sport	Praised	2
3	No_sport	Praised	3
3	No_sport	Praised	4
5	No_sport	Praised	5
3	No_sport	Praised	6
8	No_sport	Praised	7
1	No_sport	Praised	8
6	No_sport	Praised	9
6	No_sport	Praised	10
2	No_sport	Praised	11
2	No_sport	Praised	12
4	No_sport	Praised	13
2	No_sport	Praised	14
7	No_sport	Praised	15
6	No_sport	Praised	16
4	No_sport	Praised	17
3	No_sport	Praised	18
7	No_sport	Praised	19
3	No_sport	Praised	20
3	No_sport	Praised	21
4	No_sport	Praised	22
2	No_sport	Praised	23
2	No_sport	Praised	24
9	No_sport	Praised	25
2	No_sport	Criticized	26
6	No_sport	Criticized	27
6	No_sport	Criticized	28
6	No_sport	Criticized	29
8	No_sport	Criticized	30
7	No_sport	Criticized	31
6	No_sport	Criticized	32
8	No_sport	Criticized	33
7	No_sport	Criticized	34
5	No_sport	Criticized	35
9	No_sport	Criticized	36
9	No_sport	Criticized	37
7	No_sport	Criticized	38
7	No_sport	Criticized	39
6	No_sport	Criticized	40
7	No_sport	Criticized	41
6	No_sport	Criticized	42
6	No_sport	Criticized	43
7	No_sport	Criticized	44
6	No_sport	Criticized	45
7	No_sport	Criticized	46
4	No_sport	Criticized	47
5	No_sport	Criticized	48
4	No_sport	Criticized	49
4	No_sport	Criticized	50
3	No_sport	None	51
6	No_sport	None	52
6	No_sport	None	53
4	No_sport	None	54
7	No_sport	None	55
6	No_sport	None	56
4	No_sport	None	57
5	No_sport	None	58
5	No_sport	None	59
6	No_sport	None	60
8	No_sport	None	61
5	No_sport	None	62
6	No_sport	None	63
7	No_sport	None	64
7	No_sport	None	65
7	No_sport	None	66
3	No_sport	None	67
5	No_sport	None	68
5	No_sport	None	69
3	No_sport	None	70
6	No_sport	None	71
4	No_sport	None	72
8	No_sport	None	73
3	No_sport	None	74
7	No_sport	None	75
5	Sport	Praised	76
4	Sport	Praised	77
3	Sport	Praised	78
3	Sport	Praised	79
4	Sport	Praised	80
3	Sport	Praised	81
5	Sport	Praised	82
2	Sport	Praised	83
4	Sport	Praised	84
4	Sport	Praised	85
1	Sport	Praised	86
1	Sport	Praised	87
2	Sport	Praised	88
1	Sport	Praised	89
4	Sport	Praised	90
3	Sport	Praised	91
2	Sport	Praised	92
2	Sport	Praised	93
4	Sport	Praised	94
2	Sport	Praised	95
2	Sport	Praised	96
2	Sport	Praised	97
1	Sport	Praised	98
1	Sport	Praised	99
5	Sport	Praised	100
5	Sport	Criticized	101
3	Sport	Criticized	102
3	Sport	Criticized	103
3	Sport	Criticized	104
4	Sport	Criticized	105
4	Sport	Criticized	106
3	Sport	Criticized	107
4	Sport	Criticized	108
4	Sport	Criticized	109
3	Sport	Criticized	110
5	Sport	Criticized	111
5	Sport	Criticized	112
4	Sport	Criticized	113
4	Sport	Criticized	114
3	Sport	Criticized	115
4	Sport	Criticized	116
3	Sport	Criticized	117
3	Sport	Criticized	118
4	Sport	Criticized	119
3	Sport	Criticized	120
4	Sport	Criticized	121
2	Sport	Criticized	122
3	Sport	Criticized	123
2	Sport	Criticized	124
2	Sport	Criticized	125
6	Sport	None	126
3	Sport	None	127
3	Sport	None	128
2	Sport	None	129
4	Sport	None	130
3	Sport	None	131
2	Sport	None	132
3	Sport	None	133
3	Sport	None	134
3	Sport	None	135
5	Sport	None	136
3	Sport	None	137
3	Sport	None	138
4	Sport	None	139
4	Sport	None	140
4	Sport	None	141
2	Sport	None	142
3	Sport	None	143
3	Sport	None	144
2	Sport	None	145
3	Sport	None	146
2	Sport	None	147
4	Sport	None	148
2	Sport	None	149
4	Sport	None	150
