group,score
noLuminosity,474
noLuminosity,535
noLuminosity,458
noLuminosity,641
noLuminosity,546
noLuminosity,459
noLuminosity,558
noLuminosity,576
noLuminosity,564
noLuminosity,498
noLuminosity,634
noLuminosity,550
noLuminosity,474
noLuminosity,355
noLuminosity,605
noLuminosity,518
noLuminosity,520
noLuminosity,592
noLuminosity,583
noLuminosity,566
yesLuminosity,473
yesLuminosity,613
yesLuminosity,437
yesLuminosity,855
yesLuminosity,638
yesLuminosity,440
yesLuminosity,665
yesLuminosity,708
yesLuminosity,680
yesLuminosity,528
yesLuminosity,841
yesLuminosity,648
yesLuminosity,474
yesLuminosity,200
yesLuminosity,774
yesLuminosity,573
yesLuminosity,578
yesLuminosity,743
yesLuminosity,722
yesLuminosity,683
